#,,Whisky,Stated Age,Strength,Size,Rating,Votes,
62,,Macallan 1948?Select Reserve - 21st April,51,46.6 % Vol.,700 ml,94.57,16,
63,,Ardbeg 1972,30,49.9 % Vol.,700 ml,94.56,84,
64,,Bowmore 1964 Gold,44,42.4 % Vol.,700 ml,94.56,73,
65,,Brora 1972?Rare Malts Selection,22,58.7 % Vol.,700 ml,94.55,88,
66,,Ardbeg 1972?Ping No. 1,31,51.4 % Vol.,700 ml,94.55,52,
67,,Longmorn 1974 Sa?Natural Strength,,60.8 % Vol.,750 ml,94.54,56,
68,,Port Ellen 1981 RWD,,57.0 % Vol.,700 ml,94.53,24,
69,,Bowmore 1964 Black?Final Edition,31,49.0 % Vol.,700 ml,94.53,91,
70,,Tormore 1966 RWD,16,57.0 % Vol.,750 ml,94.52,75,
71,,Ardbeg 1974 Provenance?4th Release,,55.0 % Vol.,750 ml,94.5,41,
72,,Springbank 1966?Local Barley,31,54.9 % Vol.,750 ml,94.5,19,
73,,Glenfarclas 1959?The Family Casks (Release X),,48.5 % Vol.,700 ml,94.47,20,
74,,Glenfarclas 1959?The Family Casks,47,52.5 % Vol.,700 ml,94.47,23,
75,,Springbank 1965 CA?Distillery Label,,54.5 % Vol.,700 ml,94.47,22,
76,,Springbank 10-year-old?100% Pure Malt,10,59.0 % Vol.,750 ml,94.46,28,
77,,Glendronach 1972?Single Cask - Batch 12,43,51.1 % Vol.,700 ml,94.42,114,
78,,Springbank 1966?Local Barley - West Highland,24,58.1 % Vol.,50 ml,94.42,16,
79,,Glenury Royal 1953?Diageo Special Releases 2003,50,42.8 % Vol.,700 ml,94.42,54,
80,,Ardbeg 1959 CA?Dumpy Bottle,25,46.0 % Vol.,750 ml,94.41,28,
81,,Ardbeg 1975?Feis Ile 2006,,46.3 % Vol.,700 ml,94.41,42,
82,,Macallan 1940 GM?Macallan-Glenlivet - A Pure Highland Malt,37,43.0 % Vol.,750 ml,94.4,19,
83,,Ardbeg 1976?The Ardbeg Committee,,55.0 % Vol.,700 ml,94.39,48,
84,,Springbank 1965 MI?The Birds - first collection,,46.0 % Vol.,750 ml,94.38,17,
85,,Bowmore 1966 DT?Rare Auld,40,43.4 % Vol.,700 ml,94.38,37,
86,,Ardbeg 1975?Manager's Choice,,46.7 % Vol.,700 ml,94.37,21,
87,,Laphroaig 1974?La Maison du Whisky,31,49.7 % Vol.,700 ml,94.37,113,
88,,Highland Park 1955 It?Special Selection,30,53.2 % Vol.,750 ml,94.36,41,
89,,Macallan 1970?Fine & Rare,32,54.9 % Vol.,700 ml,94.35,19,
90,,Ardbeg 1976?Islay festival 2004,,51.4 % Vol.,700 ml,94.33,74,
91,,Ardbeg 1972?Single Cask,32,48.3 % Vol.,700 ml,94.32,36,
92,,Springbank 1966?Local Barley,33,55.0 % Vol.,700 ml,94.32,21,
93,,Springbank 1962?White Label Big Golden S,30,46.0 % Vol.,750 ml,94.31,15,
94,,Macallan 1959?Rinaldi Import,,80 (proof),750 ml,94.31,34,
95,,Springbank 1962?White Label Big Golden S,32,46.0 % Vol.,700 ml,94.31,18,
96,,Ardbeg 1972,,45.3 % Vol.,700 ml,94.29,48,
97,,Springbank 1966?Local Barley,33,53.0 % Vol.,700 ml,94.29,30,
98,,Macallan 1957?The Anniversary Malt,25,43.0 % Vol.,750 ml,94.29,26,
99,,Glenglassaugh 1972?Rare Cask Release - Batch 1,41,50.6 % Vol.,700 ml,94.28,290,
100,,Springbank 1966?Local Barley - West Highland,24,61.2 % Vol.,750 ml,94.28,23,
101,,Springbank 1966?Local Barley,33,53.5 % Vol.,700 ml,94.28,20,
102,,Mortlach 1936 GM?Celtic Series - Book of Kells,50,40.0 % Vol.,750 ml,94.28,20,
103,,Ardbeg 1972,32,48.5 % Vol.,700 ml,94.27,25,
104,,Bowmore 1956?Islay Pure Malt,,43.0 % Vol.,700 ml,94.27,97,
105,,Bowmore Bicentenary?75 Proof - 26 2/3 Fl.oz.,,43.0 % Vol.,757 ml,94.27,47,
106,,Glenfarclas 1953?The Family Casks (Release X),58,49.6 % Vol.,700 ml,94.26,49,
107,,Springbank 1963 CA?Authentic Collection,31,52.3 % Vol.,700 ml,94.26,36,
